"year","locationname","datasource","category","measure","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","totalpop18plus","totalpopulation","geolocation","locationid","categoryid","measureid","datavaluetypeid","short_question_text"
"2023","02127","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.0",,,"9.9","12.2","33630","37939","POINT (-71.0382163 42.3353007)","02127","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02062","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.3",,,"10.1","12.6","25530","31611","POINT (-71.1924772 42.1873895)","02062","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02118","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.3",,,"10.2","12.5","25415","29073","POINT (-71.0698052 42.33786)","02118","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02066","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.5",,,"10.2","12.7","14404","18561","POINT (-70.7581843 42.2022731)","02066","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02152","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.3",,,"10.2","12.6","15893","19316","POINT (-70.9770258 42.3773816)","02152","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02128","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.9",,,"9.9","12.2","34826","43066","POINT (-71.0073933 42.3615186)","02128","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02119","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","13.5",,,"12.2","14.9","22936","29175","POINT (-71.0851879 42.3240658)","02119","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02129","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.8",,,"9.8","12.1","15661","19120","POINT (-71.0614875 42.379657)","02129","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02375","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.2",,,"11.0","13.6","8352","10373","POINT (-71.0780409 42.0056899)","02375","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02155","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.8",,,"10.7","12.9","53078","61483","POINT (-71.1076732 42.4238395)","02155","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
